Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
,554262,143900,A FRAME #3 SLEEPING SHELTER LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0037-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554263,143901,A FRAME #4 SLEEPING SHELTER LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0038-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554264,143902,A FRAME #5 SLEEPING SHELTER LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0039-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554265,143903,A FRAME #6 SLEEPING SHELTER LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0040-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554266,143904,SLEEPING STRUCTURE 1 LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0041-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554267,143908,SLEEPING STRUCTURE 2 LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0042-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554268,143909,SLEEPING STRUCTURE 3 LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0043-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554269,143910,SLEEPING STRUCTURE #4 LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0044-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554270,143911,LIAHONA CAMP SLEEPING STRUCTURE #5,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0045-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554271,143912,LIAHONA CAM SLEEPING STRUCTURE #6,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0046-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554272,143913,LIAHONA CAMP SLEEPING STRUCTURE #7,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0047-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554273,143914,LIAHONA CAMP SLEEPING STRUCTURE #8,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0048-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554274,143915,LIAHONA CAMP SLEEPING STRUCTURE #9,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0049-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554275,143916,LIAHONA CAMP SLEEPING STRUCTURE #10,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0050-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,556622,141427,LOWER BEAR RIVER DAM,,,BEAR RIVER RESERVOIR,MARKLEEVILLE,ALPINE,,X,,"6Y, 05/07/2003, DOE-02-03-0005-0000 | 6Y, 05/07/2003, FERC030124A",,,,002-242-30,,P,1951,o38120e3,4/5/2018,9/23/2022
02-000462,461189,58890,ALPINE COUNTY LIBRARY,02-6120-001^Survey Number,,LARAMIE ST,MARKLEEVILLE,ALPINE,,,MONTGOMERY STREET (Corridor),"3S, , 6120-0005-0000",,,,2-30-06,,C,1928,o33114e5,4/5/2018,9/23/2022
02-000464,461191,58892,,,,MAIN ST,MARKLEEVILLE,ALPINE,,,MONTGOMERY ST (Corridor),"7N, , 6120-0007-0000",,,,2/27/2013,,P,1898,o33114e5,4/5/2018,9/23/2022
